m/z,Intensity
215.80017,294.6
215.87038,839
215.96921,580.6
215.98862,510.3
215.99499,66391.9
216.00801,54779.7
216.02713,377.9
216.04441,1540.2
216.05513,462.7
216.06072,908.8
216.06995,866
216.08452,424.5
216.10147,593.6
216.12712,730.2
216.14769,580.5
216.15997,2112.2
216.16429,329.5
216.19054,647.9
216.19548,551380.5
216.19885,391.5
216.20023,1091.4
216.22083,240.5
216.23194,5500.9
216.31676,413.4
216.38509,756.3
216.41032,416.9
216.60562,363.7
216.60869,421.8
216.61238,449.3
216.7195,380.4
216.74057,975.6
216.86673,380.8
216.8896,226
217.00171,367.6
217.00795,359.5
217.013,298.5
217.01912,962.9
217.03796,90243.1
217.04279,292
217.07423,15916.8
217.08284,447.6
217.10425,63220.7
217.10643,769.1
217.16728,4759.9
217.17909,251.9
217.19871,38135.1
217.20486,291.2
217.21791,468.4
217.2262,871.8
217.29594,475.2
217.33566,686.9
217.47734,373.2
217.55432,726.8
217.55682,847.6
217.61159,312
217.62691,453.2
217.68446,365.4
217.7789,379.2
217.81328,416.8
217.81633,507.3
217.83707,386.9
217.89195,853.5
217.94075,930.8
217.98962,583.5
217.99548,564.8
218.00247,25812.7
218.00838,40405.4
218.02121,764.3
218.02365,39483.1
218.04132,581.1
218.05995,811.1
218.09128,723.5
218.10703,302.6
218.1514,485.1
218.1739,568.3
218.21111,45385.7
218.2921,834.5
218.35109,299.8
218.38689,759.9
218.39862,332.7
218.40355,365.5
218.41528,387.8
218.42139,683.6
218.48131,310.2
218.48558,602.6
218.50171,830.8
218.55234,429.8
218.55939,831.4
218.6046,302
218.7612,888.1
218.79172,732.9
218.84692,1087.6
218.99522,1070.7
219.01246,1386.9
219.01718,261853.6
219.03127,12934.1
219.05644,518.1
219.06244,1660.2
219.10137,27537.1
219.13637,1640.3
219.13869,1469.2
219.1546,411.9
219.15881,660.4
219.17378,5250.6
219.22369,942.2
219.26239,440.7
219.37619,472.1
219.56731,388.3
219.69693,1163.1
219.95125,612.5
219.98522,20898.1
219.99791,2940.3
220.00295,1722036.8
220.0078,4469.5
220.01491,473.3
220.02072,3081.3
220.10524,391.9
220.12927,403.7
220.14621,334.9
220.16687,49984.7
220.18226,5252.8
220.1895,972
220.26302,568.9
220.36623,982.4
220.53322,331
220.63353,478.5
220.80309,441.2
220.99824,742.4
221.00285,133497.1
221.00712,9627.3
221.01164,24912.6
221.02179,296.6
221.03602,1703.1
221.06913,8200.5
221.07761,457.6
221.11682,61989.3
221.1531,37267.9
221.17,2004.3
221.17547,5591.6
221.22687,470
221.2711,411.7
221.31795,809.6
221.36095,341.6
221.41796,1425.6
221.49277,772.8
221.52454,1848.7
221.57121,1398.3
221.5956,802.1
