m/z,Intensity
86.09688,252248.7
86.21856,2174.7
86.25369,2366.9
86.38338,2425.4
86.41802,2661.7
86.45706,1544.2
86.51288,2583.6
86.5423,1735.4
86.6964,2568
86.82062,3674.5
87.04446,4538.6
87.10011,1689.8
87.16483,2215.2
87.20923,2233.3
87.27027,4657
87.42316,4536.1
87.53392,2493.7
87.54523,3896.6
87.63944,1687.7
87.67061,1737.6
87.73391,2396.8
87.74168,2041.6
87.78806,2293.9
87.80113,2502.7
87.82816,2410
87.86073,4896.7
88.00224,2584.1
88.04787,2178.4
88.05372,1933.1
88.07611,55114.9
88.09048,2133.5
88.09328,3162.9
88.12471,2181.3
88.51219,2158.8
88.51421,2186.8
88.58327,2065.5
88.58377,1801.3
88.59544,2160.5
88.7196,2531.1
88.78797,2730.6
88.80486,3718.7
88.83166,1922
88.86603,2144.7
88.87936,2710.2
88.89384,1803.6
89.04885,2349.8
89.28236,2076.8
89.35538,2000
89.46034,2784.7
89.58817,2255.7
89.64192,1986.4
89.75822,2056.8
89.76252,2323
89.80139,2083.2
89.81362,2321
89.82761,2434.4
89.99956,2391.5
90.04655,5644.4
90.05541,124176.4
90.07417,2041.2
90.0918,2640.8
90.1157,2122.9
90.22861,2624
90.25545,1950.7
90.45365,2426.5
90.65757,2222.7
90.77256,3050.6
90.86678,2210.1
91.05864,5838.3
91.0603,2676.9
91.14529,2313.9
91.18047,2974.9
91.19792,1719
91.28443,3786.7
91.29455,2608.1
91.40373,4028
91.47504,2349.4
91.53242,2372.4
91.63541,1885
91.79199,2596.1
91.94151,1753.5
92.03979,2693.3
92.05218,2669.7
92.07103,18286.3
92.08001,2093.6
92.11539,2237.9
92.23402,2655.1
92.24705,1880.1
92.3765,2867.7
92.46005,2151.8
92.46882,1872
92.51931,2160.1
92.62498,2969.2
92.64206,3120.7
92.793,2451.7
93.03154,9009.8
93.04172,36122.2
93.04326,11250.3
93.05502,37612.7
93.06635,2732.3
93.18392,2623.9
93.41218,2375.9
93.44942,2056.6
93.46959,2114.9
93.47189,2284.1
93.48926,2505.7
93.61491,2855.2
93.85874,1920.4
93.91521,2461.1
94.08665,4361.8
94.11685,1944.2
94.21243,1807.3
94.34019,2323.2
94.60017,1681.6
94.71919,2114.3
94.79346,2198.3
94.81562,2890.3
94.82883,1915.9
94.87482,2278.2
94.87815,2285.9
94.91663,2680.4
95.02049,2116.5
95.09471,1854
95.24366,2153.6
95.26747,2627.8
95.3795,4154.8
95.6245,2124.6
95.88313,1852.8
96.03492,2047
96.04483,2955.1
96.10102,2352.8
96.18542,2033.9
96.19828,2436.6
96.30525,1944.5
96.31893,2118.8
96.54004,2711.4
96.7394,1833.3
96.80711,2495.5
96.93516,2026.2
96.96323,2325.5
97.00443,2098.9
97.02641,5902
97.05244,2478.2
97.12465,1665.3
97.14003,3458.6
97.14917,2256.3
97.16685,1907.2
97.35179,1967.3
97.44769,2176.2
97.44816,1581.7
97.48672,2807
97.84657,1852.7
97.95198,2051.2
98.0216,37000.9
98.04977,2236.8
98.19997,2129.1
98.45373,2428.3
98.46754,1884.9
98.53494,2565.7
98.71664,2064.5
98.7593,2194.5
98.91296,1888.8
98.97567,16916.7
99.04197,48703.4
99.24952,2267.7
99.26023,2173.8
99.26261,2353.3
99.27066,2670.4
99.30859,3526.5
99.75135,2303.6
99.76821,4897
99.81244,2631
100.076,13407.6
100.13815,2755.6
100.37734,1941.9
100.60909,1953.4
100.65479,2002
100.67863,2719.3
100.82528,2386.2
100.96852,2175.3
101.00366,2072.7
101.06004,17124.8
101.09223,2018.4
101.11204,2250.8
101.18461,2883.2
101.37387,3149.1
101.51949,1796.2
101.61527,2581.1
101.76025,1777.6
101.87843,2512.2
101.93057,2132.3
102.05516,1952.3
102.07843,3797.9
102.09162,196209.8
102.21531,1985.4
102.24317,1761
102.27891,2621.2
102.29983,3179.1
102.61851,3252.6
