m/z,Intensity
743.00116,23.8
743.22424,9.3
743.33496,8.4
743.42181,10.3
743.44067,10
743.49683,10.9
743.84705,17.7
743.87916,203789.5
743.93754,70004.3
744.47174,9.1
744.5285,9.7
744.81775,9.8
744.84778,27.5
744.88034,112040.3
744.90872,10538.6
744.93789,36834.8
745.02445,1417.6
745.23706,8.7
745.36725,12.7
745.54675,11.4
745.72424,10
745.79578,8.8
745.88156,48780.9
745.91235,9307.4
745.94136,14234.5
746.0282,19.2
746.25024,8.3
746.45917,9.4
746.88379,13536.1
746.91418,2792.9
746.94368,2209.7
747.03361,17.1
747.0649,94.1
747.52411,11.5
747.59936,1785.7
747.88143,1856.7
747.91295,2089.2
747.94248,30.2
748.06273,29.3
748.1095,10.1
748.12964,9
748.39703,20.9
748.49994,13.9
748.52789,11.1
748.60233,155.2
748.88319,52
748.90858,560.1
748.97363,9.1
749.04462,8.6
749.08137,612.2
749.23767,8.8
749.29535,10.7
749.40791,22.1
749.54056,34.1
749.88403,22.7
749.91017,72.3
749.97695,297.3
750.08866,25.1
750.16614,10.9
750.30609,11.8
750.33388,905.7
750.39502,10.7
750.40655,18.9
750.72784,9.4
750.89081,12.5
750.91072,19.3
750.9245,13.5
750.94775,11.6
750.98005,33.6
751.06283,28.9
751.09426,20.7
751.31537,146.7
751.50063,22.7
751.53607,10.1
751.8385,6.8
751.92897,4930.9
752.16819,55.6
752.32018,18.2
752.81689,9
752.82861,8.8
752.90951,31.9
752.92923,1008.9
752.96558,10.1
753.00031,6.3
753.04901,11.6
753.29548,108.5
753.32983,4.4
753.51676,21.6
753.87262,8.6
753.92352,44596.1
753.95746,11.2
753.97236,1627.2
754.0605,23.7
754.15045,9.8
754.29376,9.6
754.32916,9.9
754.92469,27470.5
754.97773,287.7
755.0705,9.1
755.17291,11.1
755.27405,10.4
755.46051,7.2
755.86523,11.6
755.88623,9.2
755.92549,12716.6
755.94032,26.1
755.96189,99
756.48395,9.9
756.6026,10.6
756.89894,20428.3
756.93325,19518.6
756.96539,10.6
756.98118,30.7
757.69873,8.7
757.86197,18.1
757.89813,3453.9
757.92235,5014.3
757.95615,19918.1
758.16504,9
758.18073,10.4
758.28265,11.7
758.35748,9.3
758.37793,8.2
758.43842,10
758.86063,21.1
758.89575,766.7
758.92543,33362.5
758.95621,11832.1
758.99249,8.6
759.32855,10.7
759.52789,9.5
759.62323,11.2
759.75616,9.6
759.86734,22.4
759.89801,611.1
759.92873,25945.3
759.96058,772.8
759.98755,10.9
760.88145,18.9
760.89792,42.1
760.93146,11411.8
760.96307,11.3
761.34711,9.3
761.54083,8.9
761.7218,8.2
761.85643,14.8
761.89228,11911.5
761.93329,1755.2
761.94617,10.7
762.03638,9.9
762.07771,33.4
762.47949,9.4
762.89351,5989.6
762.93218,29.8
763.06188,18.7
763.09853,87.4
763.21997,7.8
763.31799,7.7
763.52044,54.4
763.89486,836
763.91852,10.6
763.94696,11.4
764.9008,44.6
764.94177,9.5
765.07733,10.7
765.29508,41.8
765.37683,11.2
765.83075,11.1
765.8598,10.2
765.91758,35
765.92977,63.8
765.94537,11.7
766.086,6.9
766.21252,9
766.24707,8.8
766.31848,9.2
766.88745,18.8
766.92114,11.4
766.94045,2957.3
766.99725,8.3
767.27865,29.3
767.3949,11.2
767.53553,22.4
767.93857,1627.3
768.12099,54.6
768.23047,11.3
768.90052,22.6
768.93423,34234.8
769.00836,10.9
769.12115,11
769.29156,46
769.32251,9.7
769.47778,8.5
769.49934,17.4
769.54852,11.9
769.59253,10.6
769.93907,23473.2
770.11255,9
770.62659,7.9
770.92669,173.6
770.941,8412.8
770.9798,10.2
771.33685,9.7
771.45117,10.9
771.48816,11.9
771.88391,10.9
771.93371,48694.9
772.90301,18.1
772.93477,29179.4
773.00397,8.3
773.29549,47.5
773.36151,13.1
773.89334,76.9
773.90743,35.6
773.93719,12567.4
774.07977,10.8
774.29913,10.6
774.43823,10.1
774.83002,11.8
774.90765,2595.9
774.94354,3895.8
775.29767,9.2
775.52277,11.4
775.62829,22.7
775.87288,536.8
775.90545,15650.6
775.93336,913.6
775.95824,219.4
776.87495,81.6
776.90723,8413.9
776.93477,535.4
776.96569,662.6
777.26721,7.8
777.57001,10.9
777.90836,2421.2
777.9349,43.5
777.96834,59.1
778.88403,12.3
778.9124,468.3
778.93762,11.1
779.40771,10.6
779.53583,10.6
779.90169,1839.6
779.9411,9.5
780.09918,3.7
780.47998,12.2
780.90241,735.5
781.16095,8.9
781.90173,45.1
781.93558,42.5
781.95807,10.6
782.89777,10.1
782.94889,733.2
783.1012,10.9
783.48846,9.6
783.55139,8.9
783.8724,226.6
783.89892,44
783.93158,710.5
783.95581,9516.6
784.27142,11.2
784.32971,10.4
784.57007,12.5
784.81091,8.4
784.87699,34.1
784.89856,10.2
784.93035,2054.5
784.95492,6022.4
785.36365,11.1
785.38586,12
785.43597,11.2
785.50696,11.1
785.88928,10
785.91248,16.2
785.95069,83218
786.07947,10.1
786.88715,18.9
786.94876,81810.6
787.09968,543.7
787.17872,67.3
787.27972,79.2
787.44635,10.6
787.86993,9.7
787.89357,20
787.95173,42781.4
788.10505,53
788.28058,10.8
788.41941,41
788.56055,13.5
788.66223,12.4
788.88764,22.1
788.92332,2565.6
788.95409,14069.8
789.12506,8
789.36578,9.3
789.38506,19.2
789.4848,13
789.88955,3210.5
789.94723,34670.6
790.32599,12.4
790.38245,7.1
790.43236,20.7
790.84534,10
790.89021,667.2
790.94779,19194
790.98328,17.2
791.05133,10.6
791.44012,8.3
791.87082,64
791.89961,437
791.91321,12.8
791.94858,6114.1
792.03473,11.3
792.42969,8.8
792.50983,9.7
792.90544,260.2
792.95087,340.6
793.56494,13.3
793.82343,8.6
793.8818,20.5
793.91612,9902.5
793.95245,12.3
794.47754,10.7
794.91786,4769.6
795.52209,13.1
795.91948,743.7
795.95184,8.8
796.06665,11.8
796.24561,8.9
796.42133,10.9
796.49243,12.1
796.51947,12.8
796.77533,11
796.88931,119.2
796.92381,88.8
796.94452,12.8
796.96259,16.6
797.04779,11.5
797.43433,9.7
797.51715,8.7
797.79419,10.2
797.8895,482.8
797.9138,83.4
797.95446,120
797.96924,14.3
798.01841,108.3
798.05182,33.3
798.13248,43.6
798.27008,11.4
798.50146,9.5
798.51661,3362.8
798.5603,8
798.65564,9.8
798.89175,86.8
798.91189,22.5
798.94495,664.2
798.96668,345.8
799.01859,2876.5
799.13568,10.4
799.22162,10.8
799.4101,8.1
799.48413,11.1
799.51877,1201.6
799.88849,12.9
799.91447,4811.1
799.94994,422.7
799.96678,1556.7
800.01912,151
800.11447,18
800.5222,24.2
800.90101,725.2
800.92177,265.4
800.96112,21248.8
801.20386,7.8
801.49892,21.5
801.85307,19.2
801.87666,54.5
801.90936,153272.9
801.94488,148.5
801.96425,14246.6
802.33929,11.2
802.81671,9.4
802.89489,34.6
802.91171,69854.3
802.96287,5372.1
803.30273,8.9
803.3999,11.1
803.44213,22.1
803.49547,2475.4
803.55648,21.5
803.90276,1047118.4
803.96289,27931.3
804.05524,9.3
804.30365,245.9
804.40021,45.8
804.42969,12.2
804.49875,225.9
804.90443,617983.1
804.94459,54
804.95868,23753.7
805.07666,10.7
805.12079,9.9
805.31193,2253.4
805.47083,10.8
805.50164,21
805.52668,41.2
805.90495,279648.3
805.96309,9480.3
806.31546,274.1
806.69965,8.8
806.90625,88218.8
806.94342,26.7
806.95955,2327.5
807.22113,11.6
807.32458,8
807.45575,8.9
807.81799,8.4
807.90376,22011.6
807.93744,157.2
807.96199,46.2
808.90368,3007
808.9339,492.4
809.05231,9.9
809.45319,10
809.48413,13.3
809.547,9.7
809.90972,332.5
809.93155,173.1
810.15753,11.2
810.38788,11
810.40179,9
810.90956,174.3
810.94383,131.2
811.39038,9.8
811.9262,1002.5
811.94452,12.4
811.97101,10.1
812.11462,11
812.14638,771.2
812.48889,8.3
812.51453,10.9
812.5376,9.9
812.92752,195.2
812.96098,631.9
813.14932,151.1
813.32546,112.4
813.39203,13.4
813.44489,10.8
813.53928,61.5
813.86639,12.7
813.93714,21.2
813.96019,654
814.15204,9.1
814.36292,10.2
814.44354,10.6
814.89948,11.9
814.93811,37.8
814.96236,242.2
814.9769,116.9
815.31097,10.4
815.39862,10.9
815.43622,10.3
815.47888,12.6
815.52704,10.9
815.89621,29.2
815.92503,31.6
815.96336,1359.4
815.98088,33.1
816.0354,11.6
816.19098,9.9
816.29022,7.4
816.44066,32.9
816.54425,11.1
816.79315,7.7
816.92584,12.3
816.95641,5821.7
816.98022,21.7
817.49768,7.2
817.88178,1872
817.91887,223.4
817.94006,8.1
817.97201,4540.3
818.42749,10.7
818.8846,682.9
818.92378,58
818.93884,21.2
818.97214,14806.9
819.43683,21.2
819.51227,10
819.54633,11.3
819.59137,11.9
819.89483,2799.5
819.92148,1707.2
819.93707,8.3
819.96622,5566.7
820.08649,11.3
820.2356,10.8
820.4408,8
820.90263,5423.6
820.92099,148.8
820.96303,1655.3
820.97777,31.1
821.03736,24.4
821.36096,10.9
821.40118,12.6
821.91337,50424
821.95653,137.2
821.97372,109.4
822.01941,9.9
822.21899,11
822.40852,27.2
822.91497,29338.2
822.96356,2498.5
823.32513,18
823.3811,8.7
823.513,10.4
823.88675,447.5
823.91777,10724.3
823.96797,371.2
824.01788,10.2
824.18738,9.7
824.51489,12.4
824.84558,11.1
824.88742,163.6
824.91935,1242.7
824.97093,29.8
825.33429,13.1
825.42773,10.5
825.53356,60.2
825.84839,82.1
825.88289,28806.7
825.91964,58.4
825.94326,341.3
826.12402,20.6
826.16324,261.5
826.39642,8.5
826.4621,12.4
826.84984,18.7
826.88583,16866.3
826.9412,358.9
827.05127,8.5
827.12754,28.8
827.16466,70.5
827.29077,12
827.34808,9.1
827.55158,225.1
827.8867,6653.1
827.94454,62.3
827.97449,21.3
828.08289,11.8
828.14182,36.7
828.47211,10.6
828.51825,8.5
828.55459,25.4
828.8878,564.2
828.92395,10.1
828.95433,96
828.97113,11.3
828.99112,22.3
829.1792,7.8
829.24243,8.2
829.42358,10
829.45379,19.9
829.53026,23.2
829.83063,8.8
829.88305,95.6
829.94161,58.2
829.99002,35
830.05298,8.9
830.37457,10.4
830.47919,8.8
830.54187,11.6
830.61566,7.4
830.8252,9.2
830.88547,18.9
830.93683,10.1
830.97079,491.3
831.30359,7.7
831.44861,10
831.47638,15.1
831.52695,147.9
831.55219,7.7
831.9132,41.6
831.93726,31.4
831.97084,415.5
831.99268,21.9
832.14996,11.5
832.53711,11.2
832.90002,10
832.92612,139.1
832.95228,22.9
832.98752,2999.7
833.39801,11.9
833.41309,9.3
833.5672,10.4
833.90558,422.2
833.93529,8944.5
833.98438,1025.4
834.4068,10.6
834.47919,11.1
834.56891,20.7
834.87845,38.5
834.92153,11107.5
834.93698,55.9
834.96759,9.1
834.9849,209.7
835.38269,9.9
835.76782,9.6
835.85541,10.6
835.89248,12542.3
835.92895,91188
835.96737,29
835.98974,47.7
836.25045,20.6
836.34601,9
836.36365,7.4
836.89397,7387.5
836.93042,54243.8
836.97844,5097.8
837.03613,9.4
837.45654,8.7
837.89559,1288.1
837.93296,23140.7
837.98243,1638
838.06976,11
838.4035,58.3
838.7619,8.1
838.90177,62.1
838.9334,5753.2
838.98243,156.3
839.05566,10
839.51532,13.4
839.88409,10.7
839.92987,428.9
839.95642,10.8
839.98208,20.5
840.05032,74.8
840.14141,43
840.17401,10
840.40906,10.7
840.44507,9.3
840.4704,10.5
840.51876,18.5
840.55316,9.6
840.88049,13.2
840.91955,20.6
840.95816,21.9
840.98688,12.2
841.04735,51.8
841.49835,10.1
841.52985,11.9
841.56091,11.3
841.84961,11.2
841.88324,9.4
841.94621,18.4
842.12042,11.8
842.49725,12.9
842.53367,20.1
842.5625,10.2
842.85425,15.4
842.88067,47.9
842.90497,10.9
842.93304,9.5
842.97478,35.5
843.21332,11.1
843.39465,9.5
843.41882,12.7
843.47565,11.2
843.50586,10.8
843.54487,32.6
843.57111,10.8
843.85528,19.8
843.89465,199.4
843.95489,185
844.13657,41.5
844.44299,9.8
844.64917,9.9
844.8006,8.2
844.90089,55.6
844.95344,94.4
844.98328,18.3
845.10293,234.2
845.14331,8.3
845.53253,18.1
845.97254,24.9
846.10166,24.9
846.17035,10.8
846.4447,8.8
846.90076,9.5
846.93481,9.1
846.96375,9.2
846.99256,85.5
847.6084,9.8
847.91557,47.1
847.96442,9.4
847.99938,65.7
848.08301,10.4
848.91949,63.9
848.98187,235.9
849.03983,17.1
849.09085,19.7
849.12665,6.9
849.28021,10.9
849.43427,11.6
849.5116,13.9
849.9081,6555.5
849.94509,891.1
849.98401,58.7
850.83636,8.8
850.90936,2799.3
850.94609,325.1
850.99103,22.5
851.03866,22.1
851.41599,23.5
851.86521,24
851.88578,1117.2
851.92206,4023.9
851.95258,12.4
852.04663,9.8
852.16447,350.9
852.35699,12
852.41284,8.3
852.58508,8.5
852.83887,10.1
852.88669,492.8
852.92638,2394.9
852.97339,10.6
853.16665,70.8
853.26331,10.5
853.84375,11
853.88184,11612.3
853.90281,104.3
853.92206,10.7
853.93887,741.7
853.97491,9.8
854.12006,20.3
854.1575,15046.5
854.39798,20.6
854.42932,15.6
854.53796,11.3
854.55746,21
854.85059,18.7
854.8832,6334.1
854.9101,30.8
854.94023,380.6
854.99835,9.7
855.05858,38.6
855.12018,11.9
855.15936,9169.4
855.19952,10.3
855.44684,12.2
855.51221,11.2
855.58429,9.3
855.88361,1952.7
855.89935,9.4
855.91864,9.1
855.95514,12
855.97467,12.8
856.05426,10.2
856.16027,2353.3
856.38983,19.6
856.50879,12.2
856.54246,31.8
856.81573,9.8
856.8862,136.3
856.90934,21.4
856.95208,63.7
857.10065,8.3
857.16313,152.7
857.44385,9.8
857.48541,10.3
857.52765,21.4
857.56311,9.8
857.87375,22.7
857.90948,126.4
857.96648,71.5
858.10699,7.9
858.15077,43.3
858.53065,54.1
858.91672,89.5
858.9397,11.6
858.96841,18.9
859.05359,10.6
859.50671,12.2
859.54009,301
859.8905,11.3
859.91346,65.1
859.93574,5004.6
860.00232,8.8
860.02112,12.8
860.34015,12.5
860.42303,9.2
860.47034,11
860.54681,11.6
860.57843,9.4
860.75122,10
860.92193,11454.4
860.98164,69.4
861.27759,10.9
861.31584,7979.9
861.89359,38.7
861.93091,157436.2
861.97302,22.2
862.09369,12.4
862.31898,1355.8
862.92298,95138.1
862.97205,9.4
862.99853,33.2
863.08191,8.1
863.32167,24.8
863.42184,18.1
863.9239,1090058.5
864.33405,12.2
864.42303,8.5
864.50006,12.1
864.92562,664131.7
864.96271,6.9
865.01284,37.5
865.42781,32
865.56769,7.5
865.67059,9.9
865.77985,8.4
865.92644,311007.8
865.98736,65.8
866.92786,101749.5
866.98919,21.1
867.00757,8.5
867.54485,22.9
867.87212,67.3
867.92597,32256.9
867.97394,12.4
868.50787,9.4
868.54376,11.1
868.73505,11.1
868.87186,34.8
868.92436,9258.9
868.9668,13.7
869.17768,20.3
869.49225,11.4
869.53473,10.7
869.55725,23.8
869.86365,11.7
869.92771,1243.1
870.17371,812.5
870.42035,9.6
870.49316,8.4
870.92938,90.8
871.0784,29.3
871.17665,83.6
871.50885,11.9
871.56403,10
871.89176,428
871.94067,42.3
871.98566,10.3
872.02704,12.8
872.08502,17.8
872.13141,10.4
872.16888,20482.6
872.20795,12
872.43713,10.7
872.46582,9.7
872.51247,30
872.53412,9.2
872.68799,9.5
872.89536,69.6
872.93154,20.1
873.17038,13686.7
873.42798,14
873.48279,11.1
873.51664,32.1
873.86993,11.6
873.90393,13.2
873.92773,13.4
874.17153,4298.3
874.44133,19.9
874.52521,12
874.82758,12.6
874.91016,20.6
874.93524,10.8
875.17229,234
875.29533,4418.9
875.50494,11.1
875.53325,24.9
875.83252,10.5
875.86276,218.4
875.91727,20.4
875.96069,13.2
875.98022,9
876.12097,13.6
876.29759,289.3
876.33563,9
876.86355,60.2
877.3113,1352.3
877.52515,10.3
877.86371,4.4
877.90224,477.3
877.93926,605.2
878.01801,12.8
878.31296,118.5
878.49622,12.6
878.90608,249.2
878.93591,1501.2
878.9986,9
879.91736,6673.4
879.94062,2330.3
879.98462,31.6
880.49304,11.9
880.92486,25019.7
881.31696,9.7
881.52185,13.6
881.9335,62491.5
882.09784,11.1
882.18958,1544.8
882.34338,10.6
882.52032,21.4
882.93568,36511.3
883.02039,12.1
883.19102,657.1
883.29528,54.8
883.52739,121.5
883.93804,14449.9
884.03128,21.2
884.19029,1635.8
884.30566,10.1
884.42213,29.6
884.52783,9.9
884.89723,140.4
884.93942,1797.2
885.12909,15.8
885.16254,15.6
885.19186,115.6
885.48553,12.7
885.53003,11.2
885.56671,10.5
885.90535,16132.6
885.94591,22.3
886.10364,7.6
886.1462,144.6
886.18487,22616.4
886.48376,10.6
886.86646,13.4
886.90731,9357
886.95159,20.4
886.97162,10.4
887.04645,353.5
887.08032,9.2
887.14863,354.9
887.18725,14339.5
887.86963,9.7
887.90929,2334.1
888.05029,13.1
888.14979,36.6
888.18847,4779.7
888.25293,10.6
888.42157,9
888.50403,10.7
888.53998,16.2
888.88176,23.5
888.90976,73.5
888.97528,9.4
889.04541,10.9
889.15643,11.9
889.18921,140.4
889.30872,23.7
889.34727,3499.3
889.4411,9.8
889.48393,165.3
889.51598,24.7
889.62207,9.1
889.86536,12.1
889.90356,117.6
889.94498,25.7
889.98729,47.5
890.18234,54.7
890.35087,305.6
890.42126,11.2
890.48645,29.6
890.53436,47.8
890.9007,11.3
890.93918,28.2
890.99318,18.9
891.03876,13.1
891.18011,9
891.28917,276
891.32684,980.3
891.35431,13
891.48853,10.7
891.86578,12.9
891.9495,57.1
892.05475,9.4
892.11267,9.7
892.17542,10.9
892.29324,34.9
892.32805,236
892.50305,11.1
892.56616,10.5
892.91282,35.8
892.94881,511.2
893.02374,12.7
893.06352,9917.2
893.3057,4182.8
893.41705,7.9
893.7655,9.9
893.89551,8.5
893.91679,65.3
893.95689,17263.7
894.06752,1602.3
894.17627,8.7
894.30869,407.7
894.55487,12.5
894.90312,34.5
894.9438,19258.9
895.06473,21
895.91349,11185.2
895.95053,132111.1
896.01717,23.3
896.20099,11.6
896.33282,13.1
896.69928,10.1
896.91443,6428.7
896.95221,80934.9
897.28271,10.2
897.32257,9.8
897.41815,10.4
897.5343,7.8
897.84644,7.6
897.86975,8.8
897.9146,528.9
897.9558,35473.9
898.0174,12.1
898.47595,11
898.5979,9.1
898.85571,11.7
898.92673,125.6
898.95456,9941.1
899.14545,10
899.4715,12.4
899.53385,24.2
899.7818,11.2
899.88227,28.5
899.92755,5.6
899.94866,1533.8
900.06979,22.4
900.16163,1042.1
900.20111,3284.7
900.4458,10.6
900.5376,13.2
900.56769,12.6
900.90929,40.9
900.94751,105
901.07192,35.2
901.16351,400.5
901.20276,1374.7
901.36572,10.7
901.48492,13.4
901.52484,11.9
901.54886,22.2
901.87053,293.8
901.89911,17.7
901.91598,301.4
901.97394,8.6
902.14405,22.8
902.16884,36.4
902.20315,104.7
902.47333,9.8
902.54309,10.9
902.71875,9.2
902.87129,41.6
902.90883,3522.7
902.95775,19.4
902.98737,12.4
903.14282,10
903.258,12
903.32615,199.1
903.34393,11.9
903.50317,10.3
903.53796,12.6
903.75604,9.5
903.87104,25.7
903.91517,14913.2
904.13871,408.5
904.16095,9.3
904.19477,272.3
904.45172,11.4
904.69476,10.3
904.91724,8067.1
905.13425,73.2
905.15764,30.2
905.19873,44.8
905.27106,10.3
905.30636,204.6
905.32422,7.7
905.34277,12.6
905.45661,23.6
905.91908,1559.5
906.15454,12.6
906.29773,13.2
906.45245,10.8
906.5191,9.7
906.53925,8.6
906.9225,70.4
907.09393,10.8
907.32156,73.2
907.53535,25
907.91836,34.1
907.94582,35.7
908.31915,9.7
908.39215,10.3
908.8847,10.8
908.94318,8.3
909.02795,10.8
909.29975,48.2
909.37146,9.2
909.50806,11
909.54211,10.7
909.82257,8.4
909.89301,10.7
909.92838,1300.3
910.0462,10.2
910.30352,31.4
910.54529,11.1
910.58893,10.9
910.93101,547.1
911.01819,11.4
911.15576,11.9
911.26172,9.9
911.51599,11.1
911.64972,9.7
911.90709,11146
911.94711,4057.3
912.02441,10.9
912.22182,30.2
912.31812,9.9
912.46838,44.4
912.53174,12.4
912.56512,12.1
912.83685,10
912.90641,6193.5
912.94979,3488.9
913.02893,11.4
913.05743,12
913.07813,7.8
913.44287,12.8
913.55109,13.5
913.90213,79126.5
913.95029,1897.6
914.04203,31.6
914.17853,5593.3
914.22248,9180.8
914.34155,10.8
914.47687,10.9
914.53082,23.3
914.9039,50794
914.95422,513.7
915.04542,1414.8
915.18,3665.6
915.22385,2933.7
915.28538,32.6
915.46451,23.1
915.53638,11.4
915.90448,23989.3
915.94831,46.9
916.04892,57.7
916.18088,524.5
