Formula,m/z
Cu1O1N1C1,104.92799
Cu1O1N1C1,104.92832
Cu1O1N1C1H1,105.93608
Cu1O1N1C1H2,106.94386
Cu1O1N2C1,118.92791
Cu1O1N1C2H2,118.93978
Cu1O1N1C2H2,118.94008
Cu1O1N1C2H2,118.94033
Cu1O1N1C2H2,118.94063
Cu1O1N1C2H2,118.94083
Cu1O1N1C2H2,118.94108
Cu1O1N1C2H2,118.94137
Cu1O1N1C2H2,118.94167
Cu1O1N1C2H2,118.94223
Cu1O1N1C2H2,118.94296
Cu1O1N1C2H2,118.94317
Cu1O1N1C2H2,118.94343
Cu1O1N1C2H2,118.94368
Cu1O1N1C2H2,118.9439
Cu1O1N1C2H2,118.94413
Cu1O1N1C2H2,118.94441
Cu1O1N2C1H2,120.94645
Cu1O1N1C2H5,121.9675
Cu1O2N1C1H2,122.93462
Cu1O1N2C1H4,122.95921
Cu1O2N1C1H3,123.94665
Cu1O2N1C1H5,125.96234
Cu1O1N2C2H1,131.93941
Cu1O1N1C3H4,132.95883
Cu1O1N3C1H2,134.9467
Cu1O1N2C2H5,135.97121
Cu1O2N2C1H2,136.93948
Cu1O2N2C1H2,136.94027
Cu1O2N1C2H4,136.95282
Cu1O2N1C2H4,136.95384
Cu1O2N1C2H4,136.95515
Cu1O1N3C1H4,136.96491
Cu1O1N3C1H5,137.97284
Cu1O2N2C1H5,139.96579
Cu1O1N1C4,140.92485
Cu1O3N1C1H5,141.95775
Cu1O1N2C3,142.92963
Cu1O1N1C4H3,143.94905
Cu1O1N2C3H3,145.95201
Cu1O1N1C4H5,145.96472
Cu1O2N2C2,146.92549
Cu1O1N3C2H2,146.95016
Cu1O1N4C1H1,147.94247
Cu1O2N1C3H3,147.94247
Cu1O3N1C2,148.9156
Cu1O2N2C2H3,149.94594
Cu1O2N2C2H3,149.94989
Cu1O1N4C1H3,149.95961
Cu1O2N1C3H5,149.95961
Cu1O1N4C1H4,150.96846
Cu1O1N4C1H4,150.96872
Cu1O3N2C1H1,151.9274
Cu1O2N2C2H5,151.96144
Cu1O4N1C1,152.91113
Cu1O1N1C5,152.9268
Cu1O3N2C1H2,152.93666
Cu1O2N3C1H4,152.95877
Cu1O1N1C5H1,153.93196
Cu1O3N2C1H3,153.94243
Cu1O4N1C1H2,154.9252
Cu1O1N2C4,154.92809
Cu1O4N1C1H2,154.92809
Cu1O1N2C4,154.92868
Cu1O4N1C1H2,154.92868
Cu1O1N2C4,154.92909
Cu1O4N1C1H2,154.92909
Cu1O1N2C4,154.93158
Cu1O3N2C1H5,155.96108
Cu1O2N1C4,156.92303
Cu1O1N3C3,156.93143
Cu1O1N1C5H4,156.95595
Cu1O1N4C2,158.93487
Cu1O2N1C4H2,158.93487
Cu1O1N2C4H4,158.95894
Cu1O1N3C3H3,159.95621
Cu1O3N1C3,160.91559
Cu1O1N5C1,160.94125
Cu1O2N2C3H2,160.94125
Cu1O1N4C2H2,160.95297
Cu1O2N1C4H4,160.95297
Cu1O1N5C1H1,161.94807
Cu1O2N2C3H3,161.94807
Cu1O2N4C1,162.93321
Cu1O3N1C3H2,162.93321
Cu1O2N3C2H3,163.95119
Cu1O3N2C2H2,164.93314
Cu1O3N2C2H2,164.93417
Cu1O3N2C2H2,164.93511
Cu1O2N4C1H2,164.94778
Cu1O3N1C3H4,164.94778
Cu1O1N5C1H4,164.97331
Cu1O3N3C1H1,165.93056
Cu1O3N2C2H3,165.94302
Cu1O2N4C1H3,165.95197
Cu1O2N3C2H5,165.96573
Cu1O1N5C1H5,165.97462
Cu1O1N5C1H5,165.98063
Cu1O3N3C1H2,166.93932
Cu1O4N1C2H4,168.94043
Cu1O3N3C1H4,168.9505
Cu1O3N3C1H4,168.95099
Cu2O2C1,169.84569
Cu1O1N2C5H3,169.95204
Cu1O4N1C2H5,169.95204
Cu1O1N2C5H3,169.95346
Cu1O4N1C2H5,169.95346
Cu2O1N1C1H3,170.8799
Cu1O1N3C4H2,170.9474
Cu1O4N2C1H4,170.9474
Cu1O1N2C5H4,170.95992
Cu1O1N2C5H4,170.96384
