Formula,m/z
Cu1O2N3C3H8,180.99124
Cu1O1N4C3H10,181.01456
Cu1O1N4C3H10,181.01576
Cu1O1N4C3H10,181.01623
Cu1O3N2C3H7,181.97589
Cu1O1N5C2H9,182.00858
Cu1O1N5C2H9,182.0098
Cu1O1N4C4,182.93513
Cu1O2N1C6H2,182.93858
Cu1O2N1C6H2,182.93896
Cu1O1N3C5H2,182.94731
Cu1O3N4C1H4,182.95833
Cu1O1N2C6H4,182.96259
Cu1O1N1C7H6,182.97516
Cu1O2N4C2H8,182.99223
Cu1O2N4C2H8,182.9955
Cu1O3N1C4H10,182.9955
Cu1O2N3C3H10,183.00509
Cu1O2N3C3H10,183.0062
Cu1O2N3C3H10,183.00683
Cu1O2N3C3H10,183.00815
Cu1O1N5C2H10,183.01666
Cu1O1N5C2H10,183.01886
Cu1O2N2C5H1,183.93376
Cu1O2N2C5H1,183.93419
Cu1O1N4C4H1,183.94264
Cu1O2N5C1H7,183.98906
Cu1O3N2C3H9,183.98906
Cu1O2N4C2H9,184.00054
Cu1O2N4C2H9,184.00095
Cu1O2N3C4,184.92834
Cu1O1N2C6H6,184.97645
Cu1O3N3C2H8,184.98465
Cu1O1N1C7H8,184.98787
Cu1O2N4C2H10,185.00827
Cu1O2N4C2H10,185.00948
Cu1O2N4C2H10,185.01007
Cu1O2N4C2H10,185.01108
Cu1O1N5C3H1,185.94791
Cu1O2N2C5H3,185.94791
Cu1O1N3C5H5,185.97145
Cu1O1N1C7H9,185.99641
Cu1O2N5C1H9,186.00484
Cu1O2N4C3,186.92981
Cu1O2N4C3,186.9323
Cu1O3N1C5H2,186.9323
Cu1O3N1C5H2,186.93408
Cu1O1N5C3H2,186.95573
Cu1O2N2C5H4,186.95573
Cu1O2N2C5H4,186.95758
Cu1O3N4C1H8,186.98955
Cu1O3N3C2H10,186.9998
Cu1O1N3C5H7,187.98949
Cu1O2N5C2,188.93423
Cu1O3N2C4H2,188.93423
Cu1O1N4C4H6,188.98194
Cu1O1N3C5H8,188.995
Cu1O1N3C5H8,188.99648
Cu1O1N3C5H8,188.99703
Cu1O3N4C1H10,189.0036
Cu1O3N4C1H10,189.00439
Cu1O3N4C1H10,189.00519
Cu1O3N4C1H10,189.00558
Cu1O2N4C3H3,189.95337
Cu1O2N4C3H3,189.95535
Cu1O3N1C5H5,189.95535
Cu1O1N4C4H7,189.99158
Cu1O2N1C6H9,189.99158
Cu1O1N3C5H9,190.00446
Cu1O1N3C5H9,190.00491
Cu1O3N4C2,190.92619
Cu1O2N4C3H4,190.96326
Cu1O3N1C5H6,190.96326
Cu1O2N4C3H4,190.96368
Cu1O3N1C5H6,190.96368
Cu1O3N1C5H6,190.96565
Cu1O2N3C4H6,190.97319
Cu1O1N4C4H8,190.99888
Cu1O2N1C6H10,190.99888
Cu1O1N4C4H8,190.99934
Cu1O2N1C6H10,190.99934
Cu1O1N2C7H1,191.93765
Cu1O2N5C2H3,191.9586
Cu1O3N2C4H5,191.9586
Cu1O2N3C4H7,191.98325
Cu1O1N4C4H9,192.00697
Cu1O1N4C4H9,192.00771
Cu1O3N5C1,192.93028
Cu1O1N2C7H2,192.9451
Cu1O2N4C3H6,192.97916
Cu1O3N1C5H8,192.97916
Cu1O2N3C4H8,192.99123
Cu1O1N5C3H8,193.00049
