m/z,Intensity,Formula,Neutral Mass
100.96619,17.8,Cu1O2H6,100.9664
101.97329,15.5,Cu1O2H7,101.97423
103.00445,31.4,Cu1O1N1H10,103.00588
103.98924,21.7,Cu1O2H9,103.98989
104.92799,16.4,Cu1O1N1C1,104.92758
104.99717,19.0,Cu1O2H10,104.99772
109.93054,17.7,Cu1O2N1H1,109.93032
110.96249,21.2,Cu1O1N2H4,110.96197
110.97447,22.3,Cu1O1N1C1H6,110.97456
111.96864,16.2,Cu1O1N2H5,111.9698
111.98196,32.4,Cu1O1N1C1H7,111.98239
112.95407,18.5,Cu1O2N1H4,112.95381
112.98984,21.7,Cu1O1N1C1H8,112.99022
113.99767,21.9,Cu1O1N1C1H9,113.99805
114.96885,19.0,Cu1O2N1H6,114.96947
116.98364,26.1,Cu1O2N1H8,116.98513
118.94167,516.7,Cu1O1N1C2H2,118.94324
118.94223,246443.5,Cu1O1N1C2H2,118.94324
118.94296,1229.8,Cu1O1N1C2H2,118.94324
118.94317,766.6,Cu1O1N1C2H2,118.94324
118.94343,514.1,Cu1O1N1C2H2,118.94324
118.94368,210.8,Cu1O1N1C2H2,118.94324
119.98395,18.7,Cu1O3H9,119.9848
120.94645,691.0,Cu1O1N2C1H2,120.94631
123.94665,190.3,Cu1O2N1C1H3,123.94598
125.9242,15.9,Cu1O3N1H1,125.92523
125.9248,17.4,Cu1O3N1H1,125.92523
125.96234,21.3,Cu1O2N1C1H5,125.96164
125.97191,21.1,Cu1O1N3H5,125.97287
125.99762,144.0,Cu1O1N1C2H9,125.99805
126.96879,14.8,Cu1O2N1C1H6,126.96947
127.00557,85.1,Cu1O1N1C2H10,127.00588
131.01187,17.6,Cu1O1N3H10,131.01202
132.95883,15.1,Cu1O1N1C3H4,132.9589
136.93948,16.8,Cu1O2N2C1H2,136.94122
136.94027,2379.2,Cu1O2N2C1H2,136.94122
136.95282,24073.6,Cu1O1N4H2,136.95245
136.95282,24073.6,Cu1O2N1C2H4,136.95381
136.95384,18.1,Cu1O2N1C2H4,136.95381
136.96491,873.7,Cu1O1N3C1H4,136.96504
136.9778,393.1,Cu1O1N2C2H6,136.97763
137.97284,31.2,Cu1O1N3C1H5,137.97287
138.96965,19.2,Cu1O2N1C2H6,138.96947
139.97432,25.4,Cu1O1N4H5,139.97594
139.98672,27.0,Cu1O1N3C1H7,139.98853
139.98761,19.2,Cu1O1N3C1H7,139.98853
