Formula,m/z
Cu1O1N1C1,104.92799
Cu1O1N1C1,104.92832
Cu1O1N1C1H1,105.93608
Cu1O1N1C1H2,106.94386
Cu1O1N1C2H2,118.94343
Cu1O1N1C2H2,118.94368
Cu1O1N1C2H2,118.9439
Cu1O1N1C2H2,118.94413
Cu1O1N2C1H2,120.94645
Cu1O1N2C2H1,131.93941
Cu1O1N1C3H4,132.95883
Cu1O2N1C2H4,136.95384
Cu1O2N2C2,146.92549
Cu1O1N3C2H2,146.95016
Cu1O1N1C4H6,146.97447
Cu1O2N2C2H3,149.94989
Cu1O2N1C3H6,150.97064
Cu1O2N2C3H2,160.94125
Cu1O1N4C2H2,160.95297
Cu1O1N5C1H1,161.94807
Cu1O3N1C3H2,162.93321
Cu1O2N4C1H2,164.94778
Cu1O2N2C3H6,164.97331
Cu1O3N1C3H6,166.96569
Cu1O1N4C3H5,175.97569
Cu1O1N1C6H11,176.01427
Cu1O2N4C2H2,176.94779
Cu1O2N3C3H4,176.95981
Cu1O2N3C3H4,176.961
Cu1O1N5C2H4,176.97084
Cu1O2N1C5H8,176.98628
Cu1O1N1C6H12,177.02286
Cu1O4N1C3H1,177.92058
Cu1O2N5C1H2,178.95088
Cu1O2N4C2H4,178.96346
Cu1O2N4C2H4,178.96436
Cu1O3N1C4H6,178.96436
Cu1O3N2C3H5,179.96106
Cu1O3N1C4H7,179.97229
Cu1O4N2C2H4,182.94731
Cu1O1N3C5H7,187.98949
Cu1O1N1C7H11,188.01485
Cu1O1N3C5H8,188.99648
Cu1O1N3C5H8,188.99703
Cu1O1N4C4H7,189.99158
Cu1O1N3C5H9,190.00446
Cu1O1N3C5H9,190.00491
Cu1O2N4C3H4,190.96326
Cu1O2N4C3H4,190.96368
Cu1O3N1C5H6,190.96565
Cu1O1N4C4H8,190.99934
Cu1O2N5C2H3,191.9586
Cu1O3N2C4H5,191.96109
Cu1O2N3C4H7,191.98325
Cu1O2N2C5H9,191.99744
Cu1O4N1C4H4,192.9451
Cu1O2N4C3H6,192.97916
Cu1O2N3C4H8,192.99123
Cu1O2N1C6H12,193.0179
Cu1O3N2C4H7,193.97678
Cu1O5N1C3H2,194.92293
Cu1O5N1C3H2,194.92361
Cu1O5N1C3H2,194.92439
Cu1O4N3C2H2,194.93469
Cu1O3N4C2H4,194.95838
Cu1O4N1C4H6,194.96019
Cu1O3N1C5H10,194.99719
Cu2O1N1C3H4,195.88927
Cu1O5N1C3H3,195.93192
Cu1O4N1C4H8,196.97645
Cu2O2N1C2H2,197.86815
Cu1O5N1C3H5,197.94711
Cu1O1N3C6H9,202.00517
Cu1O1N2C7H11,202.01827
Cu1O1N4C5H8,202.99959
Cu1O2N1C7H10,203.00215
Cu1O1N3C6H10,203.01223
Cu1O1N3C6H10,203.01276
Cu1O1N4C5H9,204.00705
Cu1O2N4C4H6,204.97911
Cu1O2N3C5H8,204.99176
Cu1O2N2C6H10,205.00482
Cu1O2N1C7H12,205.01792
Cu1O1N3C6H12,205.02754
Cu1O1N1C8H16,205.05418
Cu1O2N5C3H5,205.97353
Cu1O3N1C6H9,205.98914
Cu1O2N2C6H11,206.01298
Cu1O2N1C7H13,206.02443
Cu1O2N1C7H13,206.02541
Cu1O3N4C3H4,206.95841
Cu1O4N1C5H6,206.96021
Cu1O2N4C4H8,206.99479
Cu1O3N1C6H10,206.99717
Cu1O2N3C5H10,207.00689
Cu1O2N3C5H10,207.00826
Cu1O2N2C6H12,207.02037
Cu1O2N1C7H14,207.03354
Cu1O3N5C2H3,207.95358
Cu1O3N2C5H9,207.99241
Cu1O3N1C6H11,208.005
Cu2O1N1C4H5,208.89714
Cu1O4N4C2H2,208.93768
Cu1O3N5C2H4,208.9613
Cu1O3N4C3H6,208.97406
Cu1O4N1C5H8,208.97644
Cu1O3N3C4H8,208.98647
Cu1O3N2C5H10,208.99834
Cu1O3N1C6H12,209.01164
Cu1O3N1C6H12,209.01286
Cu1O5N2C3H3,209.93437
Cu1O4N1C5H9,209.9843
Cu1O4N1C5H10,210.99214
Cu1O5N1C4H7,211.96335
