m/z,Intensity,Formula,Neutral Mass
154.96472,25.5,Cu1O2N4H4,154.96302
155.96108,105.9,Cu1O3N2C1H5,155.95962
155.96911,82.6,Cu1O2N4H5,155.97085
155.96938,23.2,Cu1O2N4H5,155.97085
156.92303,20.5,Cu1O2N1C4,156.92249
156.93143,19.4,Cu1O1N3C3,156.93372
156.93143,19.4,Cu1O4N2H2,156.93104
156.95595,9.7,Cu1O1N1C5H4,156.9589
156.95595,9.7,Cu1O3N3H4,156.95486
157.84569,18.4,Cu2O2,157.84902
157.87331,18.4,Cu2O1N1H2,157.87284
157.91576,8.1,Cu1O5N1H1,157.91505
158.85551,21.2,Cu2O2H1,158.85685
158.89987,24.0,Cu1O6,158.89906
158.93487,195.1,Cu1O1N4C2,158.93679
158.93487,195.1,Cu1O2N1C4H2,158.93815
158.95894,21.0,Cu1O1N2C4H4,158.96197
159.86649,20.9,Cu2O2H2,159.86468
159.95621,23.5,Cu1O1N3C3H3,159.95721
159.95621,23.5,Cu1O4N2H5,159.95453
160.91559,17.8,Cu1O3N1C3,160.9174
160.91559,17.8,Cu1O6H2,160.91472
160.94125,22.5,Cu1O1N5C1,160.93986
160.94125,22.5,Cu1O2N2C3H2,160.94122
160.95297,28.2,Cu1O1N4C2H2,160.95245
160.95297,28.2,Cu1O2N1C4H4,160.95381
161.87871,22.2,Cu2O2H4,161.88034
161.94807,449.3,Cu1O1N5C1H1,161.94769
161.94807,449.3,Cu1O2N2C3H3,161.94905
161.94807,449.3,Cu1O5N1H5,161.94637
162.93321,8.6,Cu1O2N4C1,162.9317
162.93321,8.6,Cu1O3N1C3H2,162.93306
163.95119,15.6,Cu1O1N6H1,163.95076
163.95119,15.6,Cu1O2N3C2H3,163.95212
164.93079,22.5,Cu1O2N5,164.93477
164.93314,16.8,Cu1O2N5,164.93477
164.93314,16.8,Cu1O3N2C2H2,164.93613
164.93417,16.6,Cu1O2N5,164.93477
164.93417,16.6,Cu1O3N2C2H2,164.93613
164.93511,41.9,Cu1O2N5,164.93477
164.93511,41.9,Cu1O3N2C2H2,164.93613
164.94778,3806.7,Cu1O2N4C1H2,164.94736
164.94778,3806.7,Cu1O3N1C3H4,164.94872
164.97331,14.4,Cu1O1N5C1H4,164.97118
165.93056,18.5,Cu1O3N3C1H1,165.93137
165.94302,2899.5,Cu1O2N5H1,165.9426
165.94302,2899.5,Cu1O3N2C2H3,165.94396
165.95197,43.7,Cu1O2N4C1H3,165.95519
165.96573,20.2,Cu1O1N6H3,165.96642
165.96573,20.2,Cu1O2N3C2H5,165.96778
165.97462,20.9,Cu1O1N5C1H5,165.97901
165.98063,74.7,Cu1O1N5C1H5,165.97901
166.93932,16.6,Cu1O3N3C1H2,166.9392
166.97321,20.4,Cu1O1N6H4,166.97425
166.97555,860.5,Cu1O1N6H4,166.97425
166.97587,42.4,Cu1O1N6H4,166.97425
168.94043,17.6,Cu1O3N4H2,168.94227
168.94043,17.6,Cu1O4N1C2H4,168.94363
168.9505,16.0,Cu1O3N3C1H4,168.95486
168.95099,20.2,Cu1O3N3C1H4,168.95486
169.84569,21.2,Cu2O2C1,169.84902
169.95204,22.3,Cu1O1N2C5H3,169.95414
169.95204,22.3,Cu1O3N4H3,169.9501
169.95204,22.3,Cu1O4N1C2H5,169.95146
169.95346,20.2,Cu1O1N2C5H3,169.95414
