Formula,m/z
Cu1O2N2C5H8,190.98775
Cu1O1N1C7H14,191.03492
Cu1O3N2C3H16,191.04616
Cu1O3N1C4H18,191.05596
Cu1O4N2C3H1,191.92171
Cu1O1N2C6H13,192.03017
Cu1O4N1C3H15,192.03017
Cu1O1N2C6H13,192.03151
Cu1O1N1C7H15,192.04482
Cu1O3N1C4H19,192.06652
Cu1O4N2C3H2,192.92882
Cu1O1N1C8H4,192.95703
Cu1O2N1C6H12,193.01637
Cu1O1N1C7H16,193.05056
Cu1O5N1C2H13,194.00836
Cu1O4N2C2H15,194.03418
Cu1O1N2C6H15,194.04582
Cu1O4N1C3H17,194.04582
Cu1O4N2C3H4,194.94527
Cu1O2N1C6H14,195.02981
Cu1O2N1C6H14,195.03165
Cu1O2N1C6H14,195.03322
Cu1O1N1C7H18,195.06619
Cu1O1N1C7H18,195.06708
Cu1O3N2C3H20,195.07617
Cu1O2N2C5H13,196.02507
Cu1O5N1C2H15,196.02507
Cu1O2N2C5H13,196.02576
Cu1O5N1C2H15,196.02576
Cu1O2N1C6H15,196.0396
Cu1O4N2C2H17,196.04849
Cu1O1N2C6H17,196.06141
Cu1O4N1C3H19,196.06141
Cu1O1N2C6H17,196.06221
Cu1O4N1C3H19,196.06221
Cu1O4N1C4H8,196.97295
Cu1O3N1C5H12,197.01253
Cu1O5N1C2H16,197.03065
Cu1O2N1C6H16,197.04553
Cu1O1N1C7H20,197.08186
Cu1O1N1C7H20,197.08281
Cu1O3N2C4H11,198.00424
Cu1O6N1C1H13,198.00424
Cu1O5N2C1H15,198.02539
Cu1O2N2C5H15,198.0407
Cu1O5N1C2H17,198.0407
Cu1O2N2C6H4,198.95441
Cu1O5N1C3H6,198.95441
Cu1O3N2C4H12,199.01276
Cu1O6N1C1H14,199.01276
Cu1O3N1C5H14,199.02808
Cu1O2N1C6H18,199.06109
Cu1O2N1C6H18,199.06259
Cu1O2N2C6H5,199.964
Cu1O6N1C1H15,200.01753
Cu1O5N2C2H6,200.9563
Cu1O3N1C5H16,201.04044
Cu1O2N1C6H20,201.07675
Cu1O2N1C6H20,201.07776
Cu1O5N2C2H7,201.96455
Cu1O5N2C2H7,201.96584
Cu1O1N2C7H11,202.01788
Cu1O3N1C5H17,202.05086
Cu1O3N1C6H6,202.9639
Cu1O5N2C2H8,202.97394
Cu1O2N1C7H10,203.00197
Cu1O1N1C8H14,203.03486
Cu1O3N2C4H16,203.04612
Cu1O3N2C4H16,203.04709
Cu1O3N1C5H18,203.05601
Cu1O2N2C5H20,203.08234
Cu1O6N1C2H7,203.95654
Cu1O4N2C3H13,204.01659
Cu1O1N2C7H13,204.03016
Cu1O4N1C4H15,204.03016
Cu1O1N1C8H15,204.04253
Cu1O3N1C5H19,204.06652
Cu1O4N1C5H4,204.94176
Cu1O2N2C6H10,205.00383
Cu1O2N1C7H12,205.01417
Cu1O4N1C4H16,205.03511
Cu1O1N1C8H16,205.05053
Cu1O6N1C1H20,205.05618
Cu1O3N2C4H18,205.06177
Cu1O3N1C5H20,205.07161
Cu1O2N2C6H11,206.0094
Cu1O5N1C3H13,206.0094
Cu1O1N2C7H15,206.04579
Cu1O4N1C4H17,206.04579
Cu1O2N2C7,206.92445
Cu1O3N2C5H8,206.98222
Cu1O3N1C6H10,206.99359
Cu1O2N1C7H14,207.02981
Cu1O4N2C3H16,207.04085
Cu1O4N1C4H18,207.0507
Cu1O1N1C8H18,207.0662
Cu1O3N2C4H20,207.07639
Cu1O4N2C4H5,207.95273
Cu1O7N1C1H7,207.95273
Cu1O6N2C1H9,207.97455
Cu1O2N2C6H13,208.02505
Cu1O5N1C3H15,208.02505
Cu1O2N1C7H15,208.04036
Cu1O4N1C4H19,208.06018
Cu1O1N2C7H17,208.06145
Cu1O4N1C4H19,208.06145
Cu1O4N1C5H8,208.97318
Cu1O1N2C8H6,208.9761
Cu1O4N1C5H8,208.9761
Cu1O3N1C6H12,209.01241
Cu1O5N2C2H14,209.02028
Cu1O2N1C7H16,209.04544
Cu1O1N1C8H20,209.08177
Cu1O1N1C8H20,209.08481
Cu1O5N2C3H3,209.93407
Cu1O2N2C7H3,209.94913
Cu1O2N1C8H5,209.95905
Cu1O2N2C6H15,210.04071
Cu1O5N1C3H17,210.04071
Cu1O2N1C7H17,210.05585
Cu1O4N2C3H19,210.06425
Cu1O1N2C7H19,210.07707
Cu1O3N1C7H2,210.93439
Cu1O5N2C3H4,210.93898
Cu1O2N2C7H4,210.95659
Cu1O1N2C8H8,210.99159
Cu1O4N1C5H10,210.99159
Cu1O1N2C8H8,210.99342
Cu1O3N1C6H14,211.02475
Cu1O3N1C6H14,211.02834
Cu1O5N2C2H16,211.0358
Cu1O5N1C3H18,211.04607
Cu1O2N1C7H18,211.06114
Cu1O1N1C9H11,212.01137
Cu1O3N2C5H13,212.01993
Cu1O6N1C2H15,212.01993
Cu1O5N2C2H17,212.04306
Cu1O2N2C6H17,212.05637
Cu1O5N1C3H19,212.05637
Cu1O2N1C7H19,212.07233
Cu1O6N1C3H4,212.93124
Cu1O2N2C7H6,212.97159
Cu1O4N2C4H10,212.99475
Cu1O4N1C5H12,213.00612
Cu1O6N2C1H14,213.01529
Cu1O1N1C9H12,213.01922
Cu1O6N1C2H16,213.02522
Cu1O3N2C5H14,213.02965
Cu1O3N1C6H16,213.04033
Cu1O3N1C6H16,213.04384
Cu1O2N1C7H20,213.07675
Cu1O1N1C9H13,214.02785
Cu1O3N1C6H17,214.05091
Cu1O1N2C9,214.92889
Cu1O4N1C6H2,214.92889
Cu1O1N2C9,214.92987
Cu1O7N1C1H14,215.00478
Cu1O1N2C8H12,215.02303
Cu1O4N1C5H14,215.02303
Cu1O1N1C9H14,215.03494
Cu1O3N1C6H18,215.056
Cu1O1N2C8H13,216.03012
Cu1O4N1C5H15,216.03012
Cu1O3N2C5H17,216.05119
Cu1O6N1C2H19,216.05119
Cu1O3N1C6H19,216.06649
Cu1O1N1C9H16,217.05055
Cu1O3N2C5H18,217.06176
Cu1O3N1C6H20,217.07162
Cu1O8N1C1H1,217.89708
Cu1O5N2C3H11,217.99438
